district_code,score_math,female_pct,ell_pct,low_income_pct,stratio
1030000,486.0,48.0,4.0,50.0,13.0
6720000,496.0,48.0,3.0,30.0,10.0
1050000,500.0,49.0,0.0,9.0,15.0
6740000,486.0,49.0,5.0,45.0,11.0
4960000,492.0,50.0,9.0,52.0,11.0
1070000,497.0,48.0,6.0,35.0,12.0
1090000,498.82066045450955,50.0,0.0,0.0,5.457849551974908
1100000,505.0,48.0,1.0,11.0,14.0
1110000,496.0,47.0,4.0,25.0,13.0
8210000,490.0704965000311,44.0,2.0,36.0,11.0
8230000,485.81491786114134,50.0,12.0,51.0,11.0
8280000,489.59765442904336,44.0,6.0,41.0,12.0
8250000,489.28242638171815,50.0,3.0,36.0,11.0
1140000,489.0,48.0,6.0,48.0,11.0
6730000,508.0,49.0,1.0,7.0,13.0
1170000,498.0,47.0,3.0,17.0,11.0
1180000,504.0,50.0,1.0,18.0,16.0
6750000,506.0,51.0,1.0,6.0,12.0
4990000,499.0,52.0,3.0,38.0,12.0
6800000,501.0,50.0,1.0,15.0,14.0
6830000,499.0,55.0,1.0,16.0,10.0
1210000,499.0,39.0,0.0,18.0,5.457849551974908
1220000,504.0,47.0,1.0,8.0,13.0
1250000,509.0,49.0,2.0,4.0,12.0
1270000,501.0,48.0,0.0,13.0,11.0
1280000,492.0,48.0,11.0,45.0,14.0
6850000,491.0,59.0,0.0,50.0,15.0
4190000,481.0,47.0,8.0,57.0,12.0
4550000,488.0,58.0,7.0,17.0,14.0
4500000,502.0,46.0,0.0,15.0,11.0
1310000,511.0,48.0,0.0,5.0,14.0
1330000,498.0,48.0,8.0,32.0,14.0
1350000,500.0,49.0,0.0,26.0,12.0
1360000,504.0,49.0,2.0,7.0,14.0
1370000,475.0,47.0,23.0,76.0,14.0
4530000,488.0,56.0,16.0,66.0,14.0
1380000,507.0,48.0,1.0,11.0,12.0
1390000,515.0,50.0,4.0,5.0,14.0
1410000,499.0,51.0,10.0,21.0,11.0
1420000,500.0,47.0,0.0,28.0,11.0
4350000,502.0,52.0,2.0,9.0,11.0
1440000,506.0,50.0,2.0,13.0,11.0
4630000,493.0,47.0,31.0,63.0,16.0
4290000,497.0,50.0,28.0,47.0,15.0
6900000,503.0,48.0,1.0,8.0,16.0
1450000,502.0,49.0,1.0,16.0,15.0
1480000,501.0,55.0,0.0,24.0,12.0
1490000,488.0,48.0,33.68708970088926,62.0,13.0
4540000,503.0,54.0,29.0,54.0,12.0
1500000,498.0,49.0,4.0,36.0,10.0
1510000,493.0,46.0,3.0,25.0,14.0
1520000,509.0,50.0,3.0,16.0,10.0
1530000,498.0,48.0,10.0,38.0,14.0
1540000,508.0,41.0,0.0,23.0,8.0
1550000,519.0,49.0,7.0,5.0,12.0
35140000,486.0,44.0,33.68708970088926,78.75202085609575,12.0
1570000,505.0,49.0,4.0,6.0,10.0
6950000,513.0821439547682,49.0,0.0,6.0,12.0
1580000,505.0,52.0,2.0,8.0,13.0
1590000,509.0,49.0,1.0,7.0,12.0
1600000,492.0,48.0,25.0,53.0,14.0
4560000,502.0,51.0,33.68708970088926,45.0,13.0
4580000,498.82066045450955,45.0,5.0,64.0,9.0
1610000,494.0,49.0,3.0,26.0,12.0
1620000,501.0,48.0,2.0,14.0,15.0
1630000,491.0,47.0,23.0,57.0,14.0
1640000,512.0,49.0,2.0,7.0,14.0
4690000,494.0,53.0,31.0,57.0,12.0
4680000,523.5279826063677,50.0,0.0,0.0,16.0
1650000,495.0,48.0,22.0,42.0,14.0
6980000,506.0,51.0,1.0,7.0,11.0
1670000,503.0,48.0,2.0,13.0,13.0
1680000,505.0,49.0,4.0,10.0,12.0
4640000,503.0,40.0,0.0,10.0,10.0
1690000,507.0,47.0,1.0,21.0,13.0
1700000,493.0,48.0,25.0,35.0,12.0
1710000,506.0,49.0,1.0,11.0,13.0
7000000,497.3207415885099,49.0,10.0,21.0,9.0
4660000,490.0,55.0,5.0,33.0,11.0
4920000,505.0,52.0,21.0,74.0,10.0
7050000,510.0,51.0,0.0,5.0,14.0
1720000,499.0,49.0,3.0,29.0,12.0
39010000,492.9075489259576,54.0,0.0,51.0,12.0
1730000,508.0,48.0,1.0,15.0,11.0
1740000,495.0,50.0,5.0,17.0,13.0
1750000,510.0,49.0,1.0,5.0,13.0
1760000,494.0,49.0,12.0,29.0,11.0
1770000,507.0,50.0,1.0,10.0,14.0
1780000,506.0,51.0,4.0,11.0,15.0
7100000,502.0,50.0,1.0,9.0,14.0
1810000,495.0,47.0,10.0,33.0,14.0
1820000,499.0,49.0,1.0,28.0,14.0
1840000,506.0,50.0,1.0,8.0,11.0
1850000,495.0,49.0,17.0,32.0,13.0
1860000,496.0,50.0,4.0,25.0,13.0
1870000,505.0,49.0,1.0,11.0,13.0
1890000,508.0,49.0,2.0,9.0,14.0
8300000,494.641303186246,37.459573984655144,2.0,20.0,7.0
7170000,495.0,50.0,0.0,34.0,10.0
7120000,500.0,50.0,5.0,27.0,11.0
1910000,497.0,50.0,1.0,27.0,11.0
8320000,493.6956190442705,47.0,1.0,22.0,13.0
7150000,506.0,52.0,0.0,13.0,12.0
4700000,503.0,50.0,3.0,18.0,16.0
1960000,498.0,52.0,0.0,19.0,15.0
1970000,491.0,48.0,19.0,22.0,11.0
7200000,494.0,47.0,0.0,28.0,14.0
7250000,510.0,50.0,2.0,7.0,12.0
8520000,492.5923208786324,40.0,0.0,17.0,10.0
1980000,507.0,49.0,3.0,9.0,13.0
6600000,502.0,52.0,2.0,18.0,11.0
1990000,511.0,50.0,3.0,5.0,14.0
4440000,491.0,50.0,7.0,38.0,10.0
2010000,489.0,47.0,30.0,65.0,14.0
35130000,485.0,50.0,10.0,41.0,16.0
7280000,495.0,50.0,0.0,35.0,11.0
2040000,501.0,50.0,2.0,9.0,12.0
2070000,511.0,49.0,7.0,9.0,12.0
2080000,509.0,46.0,2.0,5.0,13.0
9150000,495.27175928089633,60.619438361023875,0.0,14.0,10.0
2090000,489.0,51.0,1.0,59.0,11.0
2110000,506.0,49.0,2.0,14.0,16.0
2120000,503.0,49.0,3.0,15.0,15.0
2150000,490.0,48.0,0.0,34.0,13.0
7350000,502.0,49.0,1.0,18.0,13.0
2170000,508.0,50.0,1.0,8.0,12.0
2100000,498.0,50.0,4.0,26.0,11.0
4060000,487.5486721214298,42.0,1.0,33.0,9.0
7300000,506.77758300826486,52.0,2.0,6.0,13.0
