district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
4910000,94,11,44,19,27,84,6,4,0,0,0,6,2,11,78,0,0,4,,,,,88,45,497,40,495,,68,,523,494,502,24,1207,53,47,10,13,40,1,1,0,96,1,0,1,84,16,82,14,1232,      96,3,3,2,0,0,Charter,
160000,95,9,32,13,17,62,3,5,0,0,0,6,5,15,68,0,0,6,11,85,4,0,91,53,502,47,498,13315,94,84669,555,546,2631,22,6026,48,53,6,16,30,1,0,2,96,0,0,1,83,17,99,16,6214,     394,2,2,1,0,1,District,33534
170000,95,8,30,9,17,78,2,2,0,0,0,2,4,9,82,0,0,4,9,89,1,1,93,58,503,51,501,13250,96,70944,551,540,1271,-12589,-12589,50,50,4,10,17,1,1,1,96,0,0,1,85,15,100,14,-12589,      77,1,1,1,0,0,District,34463
180000,95,9,33,12,21,92,0,3,0,0,1,31,5,9,50,0,0,6,9,90,1,0,88,57,502,41,496,16905,94,70415,513,497,322,14,733,46,53,4,17,28,4,2,2,92,0,0,0,83,17,100,11,758,      26,1,2,1,0,0,District,33908
6160000,95,9,32,10,7,80,3,1,0,0,0,4,3,11,76,1,0,6,11,87,2,0,91,46,498,39,495,14660,88,61458,554,551,880,19,1712,48,52,4,17,24,1,1,2,95,0,0,0,79,21,99,12,1772,      68,2,1,1,0,0,District,38785
200000,94,10,39,15,24,71,2,2,0,0,0,8,2,15,69,0,0,5,20,79,2,0,88,47,498,44,497,15580,85,77135,566,557,1994,17,4885,49,51,11,16,31,1,1,1,96,0,0,0,82,18,100,14,5183,     178,1,1,1,0,0,District,30361
4270000,95,10,42,12,36,,,,,,,18,3,29,46,0,0,4,21,76,0,3,,64,507,67,507,,92,,,,87,20,299,49,52,21,10,39,0,0,2,94,1,0,2,98,2,100,12,308,       0,,,,,,Charter,
35020000,999,999,999,999,999,999,999,999,999,0,0,25,1,68,5,0,0,1,,,,,,19,484,19,483,,62,,443,453,297,16,447,50,50,13,19,68,22,1,4,69,1,1,0,52,48,66,9,466,      41,3,3,2,0,0,Charter,
230000,96,7,22,7,2,83,1,2,0,0,0,6,17,6,65,0,0,6,0,97,2,0,95,70,511,68,510,17852,92,86324,596,592,1147,17,2664,49,51,6,16,9,2,1,2,94,0,0,0,79,21,99,11,2716,      59,1,1,0,0,1,District,54750
240000,95,9,32,10,20,83,3,1,0,0,0,2,2,5,88,0,0,3,8,91,1,0,94,46,498,38,494,13025,90,65670,570,569,1167,18,2328,49,51,1,18,18,0,0,2,98,0,0,0,82,18,100,14,2387,      94,2,1,1,0,0,District,36572
250000,95,9,32,12,23,57,1,2,0,0,0,2,3,5,88,0,0,2,12,88,1,0,89,44,497,41,496,14696,88,75911,534,534,863,18,2279,49,51,2,19,18,0,1,0,99,0,0,0,83,17,100,13,2354,      47,1,1,1,0,0,District,40845
260000,97,6,17,4,5,83,0,1,0,0,0,3,20,4,65,0,0,7,10,88,2,0,98,78,516,78,517,13582,89,85906,618,638,1788,22,4624,49,51,8,9,7,1,3,2,92,0,0,2,81,19,100,17,4698,      51,1,0,0,0,0,District,53137
4200000,95,10,37,13,1,,1,2,0,0,0,83,1,11,2,0,1,2,11,90,0,0,,68,512,65,507,,79,,,,65,23,350,51,49,5,17,50,45,4,4,48,0,0,0,85,15,100,20,361,      11,1,1,0,0,0,Charter,
4470000,96,7,25,8,25,,1,2,0,0,1,2,23,4,67,0,0,4,,,,,,75,513,73,512,,82,,,,154,25,445,51,49,6,12,7,0,0,0,100,0,0,0,91,9,90,15,455,      12,2,0,0,0,0,Charter,
